:START_ID(host_id),:END_ID(strain_country),:TYPE
HongKong/VB20026565/2020,Hong Kong,LOCATED_IN
HongKong/VM20001061/2020,Hong Kong,LOCATED_IN
HongKong/case42_VM20002493/2020,Hong Kong,LOCATED_IN
HongKong/case48_VM20002507/2020,Hong Kong,LOCATED_IN
HongKong/case49_VM20002508/2020,Hong Kong,LOCATED_IN
HongKong/case52_VM20002582/2020,Hong Kong,LOCATED_IN
HongKong/case78_VM20002849/2020,Hong Kong,LOCATED_IN
HongKong/case85_VM20002868/2020,Hong Kong,LOCATED_IN
HongKong/case90_VM20002907/2020,Hong Kong,LOCATED_IN
India/1-27/2020,India,LOCATED_IN
India/1-31/2020,India,LOCATED_IN
Ireland/COR-20134/2020,Ireland,LOCATED_IN
Ireland/Dublin-19072/2020,Ireland,LOCATED_IN
Ireland/Limerick-19933/2020,Ireland,LOCATED_IN
Ireland/Limerick-19934/2020,Ireland,LOCATED_IN
Ireland/Limerick-19935/2020,Ireland,LOCATED_IN
Italy/CDG1/2020,Italy,LOCATED_IN
Italy/INMI1-cs/2020,Italy,LOCATED_IN
Italy/INMI1-isl/2020,Italy,LOCATED_IN
Italy/SPL1/2020,Italy,LOCATED_IN
Italy/UniSR1/2020,Italy,LOCATED_IN
Japan/AI/I-004/2020,Japan,LOCATED_IN
Japan/Hu_DP_Kng_19-020/2020,Japan,LOCATED_IN
Japan/Hu_DP_Kng_19-027/2020,Japan,LOCATED_IN
Japan/KY-V-029/2020,Japan,LOCATED_IN
Japan/NA-20-05-1/2020,Japan,LOCATED_IN
Japan/OS-20-07-1/2020,Japan,LOCATED_IN
Japan/TK/20-31-3/2020,Japan,LOCATED_IN
Japan/TKYE6182/2020,Japan,LOCATED_IN
Japan/TY-WK-012/2020,Japan,LOCATED_IN
Japan/TY-WK-501/2020,Japan,LOCATED_IN
Japan/TY-WK-521/2020,Japan,LOCATED_IN
Jiangsu/IVDC-JS-001/2020,Mainland China,LOCATED_IN
Jiangsu/JS01/2020,Mainland China,LOCATED_IN
Jiangsu/JS02/2020,Mainland China,LOCATED_IN
Jiangsu/JS03/2020,Mainland China,LOCATED_IN
Jiangxi/IVDC-JX-002/2020,Mainland China,LOCATED_IN
Jingzhou/HBCDC-HB-01/2020,Mainland China,LOCATED_IN
Luxembourg/Lux1/2020,Luxembourg,LOCATED_IN
Mexico/CDMX/InDRE_01/2020,Mexico,LOCATED_IN
Nepal/61/2020,Nepal,LOCATED_IN
Netherlands/Andel_1365066/2020,Netherlands,LOCATED_IN
Netherlands/Berlicum_1363564/2020,Netherlands,LOCATED_IN
Netherlands/Blaricum_1364780/2020,Netherlands,LOCATED_IN
Netherlands/Coevorden_1363618/2020,Netherlands,LOCATED_IN
Netherlands/Dalen_1363624/2020,Netherlands,LOCATED_IN
Netherlands/Delft_1363424/2020,Netherlands,LOCATED_IN
Netherlands/Diemen_1363454/2020,Netherlands,LOCATED_IN
Netherlands/Eindhoven_1363782/2020,Netherlands,LOCATED_IN
Netherlands/Gelderland_1/2020,Netherlands,LOCATED_IN
Netherlands/Haarlem_1363688/2020,Netherlands,LOCATED_IN
Netherlands/Hardinxveld_Giessendam_1364806/2020,Netherlands,LOCATED_IN
Netherlands/Helmond_1363548/2020,Netherlands,LOCATED_IN
Netherlands/Limburg_2/2020,Netherlands,LOCATED_IN
Netherlands/Limburg_3/2020,Netherlands,LOCATED_IN
Netherlands/Limburg_4/2020,Netherlands,LOCATED_IN
Netherlands/Limburg_5/2020,Netherlands,LOCATED_IN
Netherlands/Limburg_6/2020,Netherlands,LOCATED_IN
Netherlands/Loon_op_zand_1363512/2020,Netherlands,LOCATED_IN
Netherlands/Naarden_1364774/2020,Netherlands,LOCATED_IN
Netherlands/Nieuwendijk_1363582/2020,Netherlands,LOCATED_IN
Netherlands/NoordBrabant_1/2020,Netherlands,LOCATED_IN
Netherlands/NoordBrabant_10/2020,Netherlands,LOCATED_IN
Netherlands/NoordBrabant_11/2020,Netherlands,LOCATED_IN
Netherlands/NoordBrabant_12/2020,Netherlands,LOCATED_IN
Netherlands/NoordBrabant_13/2020,Netherlands,LOCATED_IN
Netherlands/NoordBrabant_14/2020,Netherlands,LOCATED_IN
Netherlands/NoordBrabant_15/2020,Netherlands,LOCATED_IN
Netherlands/NoordBrabant_16/2020,Netherlands,LOCATED_IN
Netherlands/NoordBrabant_17/2020,Netherlands,LOCATED_IN
Netherlands/NoordBrabant_18/2020,Netherlands,LOCATED_IN
